epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.081,1.19516,3.54813,1.01741,0.01649,0.8591,0.06581,0.0462,1.0931,3.3477,0.96538,0.000273964,0.000273964,0.000273964
2,571.163,1.12044,2.75775,0.98941,0.11684,0.17915,0.09607,0.06508,1.10868,2.89513,0.99633,0.00054617,0.00054617,0.00054617
3,844.886,1.13137,2.58971,1.00417,0.16301,0.4116,0.18672,0.1276,1.10623,2.50945,1.02349,0.000812878,0.000812878,0.000812878
4,1121.23,1.09403,2.40376,0.997,0.22037,0.3984,0.22229,0.15608,1.11749,2.31474,1.0246,0.00080826,0.00080826,0.00080826
5,1415.4,1.09292,2.2751,0.98689,0.21076,0.45884,0.26313,0.18718,1.03652,2.17108,0.99632,0.000800013,0.000800013,0.000800013
