epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,60.2836,1.80227,2.2301,1.96359,0.7395,0.56667,0.82335,0.56154,1.74292,1.65551,1.44443,2.82082e-05,2.82082e-05,2.82082e-05
40,61.7554,1.23457,1.94148,1.43524,0.7395,0.56667,0.82335,0.56154,1.74292,1.65551,1.44443,2.84911e-05,2.84911e-05,2.84911e-05
41,63.2301,1.49976,2.08299,1.69394,0.73359,0.52884,0.82331,0.5434,1.7604,1.75536,1.44866,2.87504e-05,2.87504e-05,2.87504e-05
42,64.6214,2.1376,3.3338,2.32875,0.73359,0.52884,0.82331,0.5434,1.7604,1.75536,1.44866,2.89861e-05,2.89861e-05,2.89861e-05
43,66.0662,1.37207,2.12211,1.69865,0.73723,0.52629,0.82386,0.54331,1.77483,1.80479,1.45804,2.91983e-05,2.91983e-05,2.91983e-05
44,67.463,1.43762,1.68828,1.93009,0.73723,0.52629,0.82386,0.54331,1.77483,1.80479,1.45804,2.93869e-05,2.93869e-05,2.93869e-05
45,68.8883,1.4291,2.01221,1.7359,0.74383,0.52535,0.69765,0.48102,1.8022,1.85206,1.46426,2.9552e-05,2.9552e-05,2.9552e-05
46,70.2529,1.44263,1.61625,1.5503,0.74383,0.52535,0.69765,0.48102,1.8022,1.85206,1.46426,2.96935e-05,2.96935e-05,2.96935e-05
47,71.7696,1.62736,1.69451,1.84101,0.74086,0.49795,0.74011,0.41547,1.81443,1.90281,1.47341,2.98114e-05,2.98114e-05,2.98114e-05
48,73.2244,1.31364,1.22612,1.68297,0.74086,0.49795,0.74011,0.41547,1.81443,1.90281,1.47341,2.99058e-05,2.99058e-05,2.99058e-05
49,74.732,1.21364,1.74434,1.53551,0.74551,0.41667,0.56945,0.34532,1.868,1.93968,1.48732,2.99766e-05,2.99766e-05,2.99766e-05
50,76.0818,1.3342,1.49548,1.49385,0.74551,0.41667,0.56945,0.34532,1.868,1.93968,1.48732,3.00238e-05,3.00238e-05,3.00238e-05
51,77.4922,1.05253,1.56776,1.40612,0.79932,0.4,0.53708,0.32056,1.88675,1.98894,1.49833,3.00475e-05,3.00475e-05,3.00475e-05
52,78.9636,1.13545,1.26251,1.37726,0.79932,0.4,0.53708,0.32056,1.88675,1.98894,1.49833,3.00476e-05,3.00476e-05,3.00476e-05
53,80.3345,1.34979,1.37665,1.55997,0.79932,0.4,0.53708,0.32056,1.88675,1.98894,1.49833,3.00242e-05,3.00242e-05,3.00242e-05
54,81.8732,1.66807,1.89055,1.93201,0.75959,0.4108,0.53979,0.30533,1.92138,2.07689,1.51864,2.99772e-05,2.99772e-05,2.99772e-05
55,83.3146,1.26202,1.0771,1.46282,0.75959,0.4108,0.53979,0.30533,1.92138,2.07689,1.51864,2.99066e-05,2.99066e-05,2.99066e-05
56,84.7072,1.24651,1.7043,1.50896,0.75959,0.4108,0.53979,0.30533,1.92138,2.07689,1.51864,2.98125e-05,2.98125e-05,2.98125e-05
57,86.1219,1.87273,2.64031,1.93234,0.78455,0.40642,0.53189,0.29899,1.94,2.12745,1.52905,2.96948e-05,2.96948e-05,2.96948e-05
58,87.658,1.22905,1.33446,1.47443,0.78455,0.40642,0.53189,0.29899,1.94,2.12745,1.52905,2.95535e-05,2.95535e-05,2.95535e-05
59,89.184,1.55096,2.1837,1.72661,0.78455,0.40642,0.53189,0.29899,1.94,2.12745,1.52905,2.93887e-05,2.93887e-05,2.93887e-05
60,90.721,1.71264,3.2214,1.94369,0.78496,0.4066,0.53519,0.29037,1.9653,2.20255,1.55105,2.92003e-05,2.92003e-05,2.92003e-05
61,92.1723,1.71849,1.99781,1.97954,0.78496,0.4066,0.53519,0.29037,1.9653,2.20255,1.55105,2.89884e-05,2.89884e-05,2.89884e-05
62,93.6244,1.36614,1.73748,1.77721,0.78496,0.4066,0.53519,0.29037,1.9653,2.20255,1.55105,2.87529e-05,2.87529e-05,2.87529e-05
63,95.1138,1.57899,2.1156,1.80162,0.7821,0.40724,0.52936,0.28973,1.98922,2.22563,1.57069,2.84938e-05,2.84938e-05,2.84938e-05
64,96.5866,1.07079,1.1925,1.41403,0.7821,0.40724,0.52936,0.28973,1.98922,2.22563,1.57069,2.82112e-05,2.82112e-05,2.82112e-05
65,97.9907,1.20287,1.62944,1.50051,0.7821,0.40724,0.52936,0.28973,1.98922,2.22563,1.57069,2.7905e-05,2.7905e-05,2.7905e-05
66,99.4287,1.01028,1.03454,1.40205,0.77091,0.41327,0.5032,0.2878,1.98337,2.24662,1.57034,2.75753e-05,2.75753e-05,2.75753e-05
67,100.835,1.08736,0.87693,1.33328,0.77091,0.41327,0.5032,0.2878,1.98337,2.24662,1.57034,2.7222e-05,2.7222e-05,2.7222e-05
68,102.27,1.5247,1.22957,1.76456,0.77091,0.41327,0.5032,0.2878,1.98337,2.24662,1.57034,2.68451e-05,2.68451e-05,2.68451e-05
69,103.826,1.33289,1.52759,1.5688,0.7809,0.41173,0.4886,0.28031,1.98648,2.28526,1.5743,2.64447e-05,2.64447e-05,2.64447e-05
70,105.261,1.10744,0.9562,1.36222,0.7809,0.41173,0.4886,0.28031,1.98648,2.28526,1.5743,2.60207e-05,2.60207e-05,2.60207e-05
71,106.663,1.37505,1.90339,1.74893,0.7809,0.41173,0.4886,0.28031,1.98648,2.28526,1.5743,2.55731e-05,2.55731e-05,2.55731e-05
72,108.114,1.02517,1.00174,1.26262,0.78059,0.41036,0.48916,0.28071,2.01652,2.28483,1.58393,2.5102e-05,2.5102e-05,2.5102e-05
73,109.591,1.49767,2.45397,1.78439,0.78059,0.41036,0.48916,0.28071,2.01652,2.28483,1.58393,2.46073e-05,2.46073e-05,2.46073e-05
74,110.93,1.59034,2.00518,1.50037,0.78059,0.41036,0.48916,0.28071,2.01652,2.28483,1.58393,2.40891e-05,2.40891e-05,2.40891e-05
75,112.381,1.09158,0.96996,1.21913,0.7745,0.41312,0.48917,0.27107,2.02687,2.37257,1.60805,2.35472e-05,2.35472e-05,2.35472e-05
76,113.791,1.263,1.68518,1.50032,0.7745,0.41312,0.48917,0.27107,2.02687,2.37257,1.60805,2.29819e-05,2.29819e-05,2.29819e-05
77,115.155,1.43772,1.10665,1.47348,0.7745,0.41312,0.48917,0.27107,2.02687,2.37257,1.60805,2.23929e-05,2.23929e-05,2.23929e-05
78,116.663,1.47012,1.61943,1.66815,0.80652,0.41568,0.51029,0.27734,2.00273,2.36435,1.59581,2.17805e-05,2.17805e-05,2.17805e-05
79,118.169,1.10153,1.89153,1.44335,0.80652,0.41568,0.51029,0.27734,2.00273,2.36435,1.59581,2.11444e-05,2.11444e-05,2.11444e-05
80,119.608,1.44918,1.74534,1.61217,0.80652,0.41568,0.51029,0.27734,2.00273,2.36435,1.59581,2.04848e-05,2.04848e-05,2.04848e-05
81,121.063,1.59328,1.96544,1.8372,0.79504,0.41667,0.51509,0.27792,2.02322,2.41057,1.62702,1.98016e-05,1.98016e-05,1.98016e-05
82,122.387,1.40632,1.46054,1.66494,0.79504,0.41667,0.51509,0.27792,2.02322,2.41057,1.62702,1.90949e-05,1.90949e-05,1.90949e-05
83,123.752,1.43416,2.28078,1.62623,0.79504,0.41667,0.51509,0.27792,2.02322,2.41057,1.62702,1.83646e-05,1.83646e-05,1.83646e-05
84,125.21,1.34175,1.70854,1.67684,0.75688,0.41667,0.49653,0.27099,1.99883,2.41534,1.59465,1.76107e-05,1.76107e-05,1.76107e-05
85,126.601,0.96189,0.88606,1.25195,0.75688,0.41667,0.49653,0.27099,1.99883,2.41534,1.59465,1.68333e-05,1.68333e-05,1.68333e-05
86,128.026,1.20719,1.42542,1.57036,0.75688,0.41667,0.49653,0.27099,1.99883,2.41534,1.59465,1.60323e-05,1.60323e-05,1.60323e-05
87,129.395,1.60078,2.07833,1.74414,0.75688,0.41667,0.49653,0.27099,1.99883,2.41534,1.59465,1.52077e-05,1.52077e-05,1.52077e-05
88,130.917,1.80858,1.75866,1.95675,0.7934,0.41667,0.51717,0.27342,1.976,2.41634,1.59313,1.43596e-05,1.43596e-05,1.43596e-05
89,132.302,0.9757,1.06735,1.5507,0.7934,0.41667,0.51717,0.27342,1.976,2.41634,1.59313,1.34879e-05,1.34879e-05,1.34879e-05
90,133.708,1.32324,1.61885,1.71147,0.7934,0.41667,0.51717,0.27342,1.976,2.41634,1.59313,1.25927e-05,1.25927e-05,1.25927e-05
91,135.125,0.85503,0.75627,1.3054,0.7934,0.41667,0.51717,0.27342,1.976,2.41634,1.59313,1.16739e-05,1.16739e-05,1.16739e-05
92,136.506,1.02436,0.80652,1.26278,0.76645,0.41667,0.5101,0.26446,1.94744,2.32066,1.55757,1.07315e-05,1.07315e-05,1.07315e-05
93,137.839,0.69145,0.72717,1.28418,0.76645,0.41667,0.5101,0.26446,1.94744,2.32066,1.55757,9.76562e-06,9.76562e-06,9.76562e-06
94,139.176,0.8932,0.63525,1.18186,0.76645,0.41667,0.5101,0.26446,1.94744,2.32066,1.55757,8.77613e-06,8.77613e-06,8.77613e-06
95,140.585,1.03468,0.8667,1.2268,0.76645,0.41667,0.5101,0.26446,1.94744,2.32066,1.55757,7.76308e-06,7.76308e-06,7.76308e-06
96,142.025,1.12515,0.94644,1.36079,0.84544,0.49338,0.51943,0.28645,1.88696,2.09683,1.56418,6.72648e-06,6.72648e-06,6.72648e-06
97,143.377,0.96409,0.79499,1.1186,0.84544,0.49338,0.51943,0.28645,1.88696,2.09683,1.56418,5.6663e-06,5.6663e-06,5.6663e-06
98,144.698,0.92577,0.65091,1.22076,0.84544,0.49338,0.51943,0.28645,1.88696,2.09683,1.56418,4.58257e-06,4.58257e-06,4.58257e-06
99,146.183,0.66994,0.73427,1.08056,0.84544,0.49338,0.51943,0.28645,1.88696,2.09683,1.56418,3.47528e-06,3.47528e-06,3.47528e-06
100,147.553,0.83425,0.76388,1.22776,0.6099,0.49831,0.58415,0.31671,1.7786,1.92722,1.49393,2.34442e-06,2.34442e-06,2.34442e-06
